url,username,password,totp,extra,name,grouping,fav
https://gotinder.com,wendy@appleseed.com,S6L0Y6RcuJreHJPDu9VE4NMUE,,"Security Questions:
	- First pet's name?: vbzcpFYpVqzS88L3qX1t
	- Mother's maiden name?: TkWUlzOMLGkv2Upu",Tinder,,0
https://wikipedia.org,wendy,terrify propose crow hymnody,,,Wikipedia,,0
https://khanacademy.org,wendy,tan ely scissors avouch,,Tags: has_credit_card,Khan Academy,,0
https://mozilla.org,wendy,equine heyday jake cousin,,"Notes: Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suam denique cuique naturam esse ad vivendum ducem.
Security Questions:
	- First pet's name?: handful casework dovetail fought gleeman
	- Mother's maiden name?: acrid contra postmark overarm fils
Tags: has_credit_card",Mozilla,,0
https://shutterfly.com,wendy@appleseed.com,mNbAUQMDeLNtV0wmRLPgm,,,Shutterfly,,0
https://ford.com,wendy@appleseed.com,calmly miami confuse wry kansas,,"Security Questions:
	- First pet's name?: thistle flux prattle poultry
	- Mother's maiden name?: 84EeAQ4ZH6la5hq0Urho8W",Ford,,0
https://quora.com,wendyappleseed,acrobat solo drat broccoli,,Tags: has_address,Quora,,0
https://theguardian.com,wendy@appleseed.com,brooklet septate tarnish pamphlet,,,The Guardian,,0
https://twitter.com,wendy@appleseed.com,crick elm chintzy wriggly,,,Twitter,,0
https://overstock.com,wendy,Nrf1HSMZVLtanXT3W7l0L6s,,,Overstock,,0
https://feedly.com,wendyappleseed,FNVRMavHoJNLWnj,,,Feedly,,0
https://cra-arc.gc.ca,wendy@appleseed.com,9AVSpbTzFUWPkRKM,,,Canada Revenue Agency,Finance,0
https://nytimes.com,wendy,RGCNVQv8UAGtbETz7TR,,"Notes: Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suam denique cuique naturam esse ad vivendum ducem.",NY Times,,0
https://gravatar.com,wendy@appleseed.com,n7BWjBKtUc58sLCTPBELV,,,Gravatar,,0
https://forbes.com,wendy,betimes atlas prudent culpable,,,Forbes,,0
https://wikihow.com,wendyappleseed,R2LBXOT4i9SwK0pjHRAVOo,,,Wikihow,,0
https://walgreens.com,wendyappleseed,nymph laugh enlarge comply chess,,,Walgreens,,0
https://rottentomatoes.com,wendy,tremor elective lola silly grate,,,Rotten Tomatoes,,0
https://comcast.com,wendy@appleseed.com,AJG2ggZsvA7XlI2K,,,Comcast,,0
https://panerabread.com,wendy,wHECNT1AzAVaeK8A7bKVJ,,,Panera Bread,,0
https://ups.com,wendyappleseed,lineman unshod butter yang,,,UPS,,0
https://comixology.com,wendy,kgEqadXyU0bo7q5dIS8,,,Comixology,,0
https://cbc.ca,wendyappleseed,68i3WMlmSPBpeEIEIvg,,,CBC,Finance,0
https://imdb.com,wendyappleseed,41gHrJNUSa1rnj1L7vKVk2,,Tags: has_credit_card,IMDb,,0
https://newrelic.com,wendyappleseed,XjOQSzVTsBFRk7PidK8KStY9W,,,New Relic,,0
https://meh.com,wendy@appleseed.com,gangrene generate caddis juju,,Tags: has_address,Meh,,0
https://stickermule.com,wendy@appleseed.com,rupee decal jacquard perceive wordplay,,,Sticker Mule,,0
https://bankofamerica.com,wendy,same driven suchlike scandium,,"Unnamed section:
	- one-time password: yn23m7lnlypnw7powcfwoupgum",Bank of America,Finance,0
https://nypost.com,wendy@appleseed.com,yoyo decoy tiptoe earthmen savvy,,,NY Post,,0
https://vine.co,wendy@appleseed.com,duration possess crossbow verso bon,,,Vine,,0
https://thesaurus.com,wendy,mutton shoe chuck bogy,,,Thesaurus,,0
https://discover.com,wendy,shipyard veer seine altruism facedown,,,Discover,Finance,0
https://aol.com,wendy@appleseed.com,auditory jalousie biretta forbore,,,Aol,(none),0
https://directv.com,wendy@appleseed.com,jar militant guidance barbados,,,DirecTV,,0
https://bittorrent.com,wendy,7iPsNDFo4Arpsf8AKFfHmq,,,BitTorrent,,0
https://prezi.com,wendy@appleseed.com,wPudWomiYWopPqNBwSo,,,Prezi,,0
https://coldwellbankerhomes.com,wendy@appleseed.com,DLr4xiiDsPFql2UCZIP9GPnB,,,Coldwell Banker,Finance,0
https://vice.com,wendyappleseed,8cvwPvTb8A3oCz0BFqd,,Tags: has_credit_card,Vice,,0
https://gogoair.com,wendy@appleseed.com,headlock sapling invasive gonad rocket,,,Gogo,,0
https://xfinity.com,wendyappleseed,CMtnPnxKyVb36dZ4m,,,Xfinity,,0
https://fandango.com,wendy,JnlcAVIIYKi1tveG,,"Unnamed section:
	- one-time password: bawrnea5xmanmppdpf46cmvgce",Fandango,,0
https://zyngagames.com,wendyappleseed,nyswZpZFpKFia36,,,Zynga,,0
https://tsn.ca,wendy,O2u7DvHTvFAgs9RN7,,,TSN,,0
https://techcrunch.com,wendyappleseed,MthDCre5iJmNQxIJApLHpGUL,,,TechCrunch,,0
https://centurylink.com,wendy,MwDIaI8z4VmqkiQf59atdBPT,,"Security Questions:
	- First pet's name?: ductile noblemen subtle courtly solicit
	- Mother's maiden name?: 0VIMByL2z8CEnMsqPqE8Ja06",CenturyLink,,0
http://sn,,,,"NoteType:Membership
Language:en-US
Organization:U.S.S Cerritos, Non-Commisioned Officers Club
Membership Number:08154711
Member Name:Alex Hazel
Start Date:July,06,2380
Expiration Date:July,05,2386
Website:https://intl.startrek.com/
Telephone:
Password:nuqTYr09Ucpo$qv!#rFoOP^rlR#D&kfzmlBP#v*w688epVvqaj0NDQ&B3hXzt#HwY$OLw
Notes:",U.S.S. Cerritos Non-Comm Club,,0
https://bluemountainsit.com/,alex@gmail.omnomnom,KyCavaH&8ykUe9H^r^xq8DlZ6^#QK@wN6cFH6A%Hf9u%I9W2DT!tm3QFCVZd$#%KcmwvS,LLEAZWW7CHNPZWTA7ZEI5BIO2WVKX2D3,,bluemountainsit.com,,0
http://bluemountainsit.com,paper@michaelscottpaper.com,ffGKs8VA39Ty,LLEAZWW7CHNPZWTA7ZEI5BIO2WVKX2D3,,bluemountainsit.com,,0
http://,,"k2NY/pE?Fnzufs1ui,p:",,,email,cli-test,0
http://,,9u1qcx;febRB<h9`Y-{Vz$afVZfO`L,,,second-test,,0
https://airbnb.com,wendyappleseed,8eVfSKjAyIINByBp7VxO,,,Airbnb,Shared-Travel Expenses,0
https://booking.com,wendy@appleseed.com,beg wiredraw cover myopic dave,,,Booking.com,Shared-Travel Expenses,0
https://easyjet.com,wendy,blohn78yxXENeEO,,,EasyJet,Shared-Travel Expenses,0
https://jetblue.com,wendyappleseed,ZfeqRDXUZ7gENRwQQ2Hc,,"Notes: Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suam denique cuique naturam esse ad vivendum ducem.",JetBlue,Shared-Travel Expenses,0
https://kayak.com,wendy@appleseed.com,0qiPwiooD40qZydIIGhMY0,,"Security Questions:
	- First pet's name?: croatian inlaid conserve stage refuse
	- Mother's maiden name?: rattler posture devoid commode",Kayak,Shared-Travel Expenses,0
https://marriott.com,wendy@appleseed.com,Hnu4uxz04hcRlVGGWXhrEP,,,Marriott,Shared-Travel Expenses,0
https://opentable.com,wendy,nautch menial zeal chess,,Tags: has_address,OpenTable,Shared-Travel Expenses,0
https://southwest.com,wendy@appleseed.com,reason apprise parakeet dane bellow,,"Notes: Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suam denique cuique naturam esse ad vivendum ducem.",Southwest,Shared-Travel Expenses,0
https://tripadvisor.com,wendyappleseed,bse1LeNttRZSOdB,,"Security Questions:
	- First pet's name?: polio cudgel cur unbeaten volt
	- Mother's maiden name?: bYr1VBAnrSGCFK3j05F",Trip Advisor,Shared-Travel Expenses,0
https://uber.com,wendy@appleseed.com,selfless presume goodwill lawn venae,,,Uber,Shared-Travel Expenses,0
https://ticketmaster.com,wendy@appleseed.com,honk furthest loyalty valour,,,Ticketmaster,Shared-Travel Expenses,0
https://adobe.com,wendy,sIRPA3zXKXX7P4AQR1ghp2eG9,,,Adobe,Shared-SaaS,0
https://aws.amazon.com,wendy@appleseed.com,4ohy2M1TYpMRMvLIT9mcm,,,Amazon AWS,Shared-SaaS,0
https://digitalocean.com,wendy@appleseed.com,tuM6Cmro9BqyojuW,,,DigitalOcean,Shared-SaaS,0
https://dreamhost.com,wendy,lVNQKV15UPFbFcxiV0EkFdc,,"Notes: Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suam denique cuique naturam esse ad vivendum ducem.",Dreamhost,Shared-SaaS,0
https://hootsuite.com,wendy@appleseed.com,YXatkf5gbsUfXSbNkTLaFtzWB,,,Hootsuite,Shared-SaaS,0
https://namecheap.com,wendy,wily arouse tomb rebut,,,Namecheap,Shared-SaaS,0
https://stackexchange.com,wendyappleseed,unstop thermal pallid dropper,,"Security Questions:
	- First pet's name?: whilst assorted niter survey
	- Mother's maiden name?: xX5R7RelmOa1scGtrO",Stack Exchange,Shared-SaaS,0
https://shopify.com,wendy,tuesday bedim heart quiet,,"Contact Info:
	- email: support@shopify.com
	- phone: 1-800-548-9107",Shopify,Shared-SaaS,0
https://stripe.com,wendy@appleseed.com,unrobe ideal wedlock veiling,,"Unnamed section:
	- one-time password: bx3z2b2jztdzidlti23bjtu7i4",Stripe,Shared-SaaS,0
https://weebly.com,wendy@appleseed.com,intaglio sachet saline cuddle,,,Weebly,Shared-SaaS,0
https://wix.com,wendy,lanolin pacifier burgeon score ruinous,,Tags: has_credit_card,Wix,Shared-SaaS,0
https://zendesk.com,wendyappleseed,aggeus bumpkin maroon fluorine furring,,"Unnamed section:
	- one-time password: ff3i3pgpo5decrfhjp2shrdkjm",Zendesk,Shared-SaaS,0
https://ae.com,wendy,pDeEXt0VyFaPsrLFoQiN,,,American Eagle,Shared-Shopping\Clothing,0
https://shopgoodwill.com,wendy@appleseed.com,persuade lasso parade consent cookbook,,,Goodwill,Shared-Shopping\Clothing,0
https://macys.com,wendyappleseed,fCI8iyK4TeZlVEhW8,,,Macy's,Shared-Shopping\Clothing,0
https://nike.com,wendy@appleseed.com,BQeDbmsYrppsYzDpEFKLZs3,,,Nike,Shared-Shopping\Clothing,0
https://philips.com,wendy,tittle paddle monte bugaboo tenpin,,,Philips,Shared-Shopping,0
https://sony.com,wendyappleseed,red relation slouch crete borne,,,Sony,Shared-Shopping,0
https://telus.com,wendyappleseed,I76AWEVGomPUM2DwK65ID,,,Telus,Shared-Shopping,0
https://verizon.com,wendy@appleseed.com,tragedy fealty everyone receiver,,,Verizon,Shared-Shopping,0
https://xbox.com,wendyappleseed,ZZlk1J5hiF0ROO46ZnoF,,,Xbox,Shared-Shopping,0
